"last_name, first_name","player_id","year","pop_2b_sba_count","pop_2b_sba","pop_2b_sb","pop_2b_cs","pop_3b_sba_count","pop_3b_sba","pop_3b_sb","pop_3b_cs","exchange_2b_3b_sba","maxeff_arm_2b_3b_sba"
"Tatis Jr., Fernando",665487,2023,,,,,,,,,,
"Straw, Myles",664702,2023,,,,,,,,,,
"Rosario, Eddie",592696,2023,,,,,,,,,,
"Drury, Brandon",592273,2023,,,,,,,,,,
"Benintendi, Andrew",643217,2023,,,,,,,,,,
"Chapman, Matt",656305,2023,,,,,,,,,,
"Freeman, Freddie",518692,2023,,,,,,,,,,
"Suwinski, Jack",669261,2023,,,,,,,,,,
"Burger, Jake",669394,2023,,,,,,,,,,
"Friedl Jr., TJ",670770,2023,,,,,,,,,,
"Paredes, Isaac",670623,2023,,,,,,,,,,
"Arcia, Orlando",606115,2023,,,,,,,,,,
"Harris II, Michael",671739,2023,,,,,,,,,,
"Yelich, Christian",592885,2023,,,,,,,,,,
"Peña, Jeremy",665161,2023,,,,,,,,,,
"Contreras, William",661388,2023,"47","1.95","1.95","1.95","2","1.6","1.6",,"0.65","81.9"
"Gurriel Jr., Lourdes",666971,2023,,,,,,,,,,
"Harper, Bryce",547180,2023,,,,,,,,,,
"Giménez, Andrés",665926,2023,,,,,,,,,,
"France, Ty",664034,2023,,,,,,,,,,
"Turner, Justin",457759,2023,,,,,,,,,,
"Robert Jr., Luis",673357,2023,,,,,,,,,,
"Correa, Carlos",621043,2023,,,,,,,,,,
"Schwarber, Kyle",656941,2023,,,,,,,,,,
"Varsho, Daulton",662139,2023,,,,,,,,,,
"Rosario, Amed",642708,2023,,,,,,,,,,
"Hernández, Enrique",571771,2023,,,,,,,,,,
"Arenado, Nolan",571448,2023,,,,,,,,,,
"Kwan, Steven",680757,2023,,,,,,,,,,
"Outman, James",681546,2023,,,,,,,,,,
"Goldschmidt, Paul",502671,2023,,,,,,,,,,
